name,details,ratings,reviews_count,positive_feedbacks,negetive_feedbacks
JPMorgan Chase & Co.,Financial Services | Bangalore / Bengaluru +54 other locations,3.9,7.2k,Job Security | Salary & Benefits,Promotions / Appraisal
Jana Small Finance Bank,Banking | Bangalore / Bengaluru +408 other locations,3.8,7.2k,Salary & Benefits,
Sun Pharmaceutical Industries,Pharma | Vadodara +259 other locations,4.1,7.1k,Skill Development / Learning | Salary & Benefits | Job Security,
JSW Steel,Iron & Steel | Ballari +185 other locations,3.9,7.1k,Job Security | Skill Development / Learning,Promotions / Appraisal
Hexaware Technologies,IT Services & Consulting | Chennai +67 other locations,3.5,7.1k,,Promotions / Appraisal | Salary & Benefits | Work Satisfaction
L&T Construction,Engineering & Construction | Chennai +420 other locations,4.0,7k,Job Security | Skill Development / Learning | Salary & Benefits,Work Life Balance | Promotions / Appraisal
Lupin,Pharma | Pune +197 other locations,4.1,6.9k,Skill Development / Learning | Company Culture | Work Life Balance,Promotions / Appraisal
Zydus Lifesciences,Pharma | Ahmedabad +172 other locations,4.0,6.9k,Salary & Benefits | Skill Development / Learning,
Hindustan Unilever,FMCG | Mumbai +516 other locations,4.2,6.9k,Skill Development / Learning | Company Culture | Work Life Balance,Promotions / Appraisal
Equitas Small Finance Bank,Banking | Chennai +444 other locations,4.3,6.8k,Company Culture | Work Life Balance | Job Security,
KPMG India,Management Consulting | Bangalore / Bengaluru +106 other locations,3.4,6.7k,,Promotions / Appraisal | Work Life Balance | Work Satisfaction
ITC,FMCG | Bangalore / Bengaluru +368 other locations,3.9,6.7k,Job Security | Skill Development / Learning,Promotions / Appraisal
Ekart Logistics,Bangalore / Bengaluru +714 other locations,3.9,6.7k,Skill Development / Learning,Promotions / Appraisal
Ujjivan Small Finance Bank,Banking | Bangalore / Bengaluru +516 other locations,4.0,6.6k,Company Culture | Work Life Balance | Job Security,
Axis Max Life Insurance,Insurance | New Delhi +482 other locations,4.0,6.6k,Skill Development / Learning | Company Culture | Work Life Balance,
Megha Engineering & Infrastructures,Engineering & Construction | Hyderabad / Secunderabad +394 other locations,3.9,6.3k,Work Life Balance,Promotions / Appraisal
Tata Projects,Engineering & Construction | Mumbai +275 other locations,4.2,6.3k,Job Security | Salary & Benefits | Company Culture,
FIS,FinTech | Pune +60 other locations,3.9,6.2k,Work Life Balance | Company Culture,Promotions / Appraisal
L&T Technology Services,IT Services & Consulting | Bangalore / Bengaluru +94 other locations,3.1,6.1k,,Promotions / Appraisal | Salary & Benefits | Work Satisfaction
Coforge,IT Services & Consulting | Noida +105 other locations,3.2,6k,,Promotions / Appraisal | Work Satisfaction | Skill Development / Learning
IIFL Finance,NBFC | Mumbai +785 other locations,4.0,6k,Work Life Balance | Company Culture | Job Security,
Oracle,Software Product | Bangalore / Bengaluru +56 other locations,3.5,6k,Work Life Balance,Promotions / Appraisal | Salary & Benefits | Work Satisfaction
Bajaj Life Insurance,Insurance | Pune +594 other locations,3.9,6k,Salary & Benefits,
Indian Army,Defence & Aerospace | New Delhi +358 other locations,4.7,6k,Job Security | Company Culture | Work Life Balance,
HCL Group,IT Services & Consulting | Chennai +96 other locations,3.5,6k,Job Security,Promotions / Appraisal | Salary & Benefits | Work Satisfaction
JLL,Real Estate | Gurgaon / Gurugram +83 other locations,4.1,5.9k,Job Security | Company Culture | Work Life Balance,Promotions / Appraisal
Omega Healthcare,BPO | Chennai +67 other locations,3.7,5.9k,,Promotions / Appraisal | Salary & Benefits
Muthoot Finance,NBFC | Bangalore / Bengaluru +754 other locations,3.6,5.8k,,Promotions / Appraisal | Work Satisfaction | Salary & Benefits
Cholamandalam Investment & Finance,Financial Services | Chennai +803 other locations,3.8,5.8k,Salary & Benefits,Promotions / Appraisal
eClerx,IT Services & Consulting | Pune +31 other locations,3.1,5.8k,,Promotions / Appraisal | Salary & Benefits | Work Satisfaction
Virtusa Consulting Services,IT Services & Consulting | Hyderabad / Secunderabad +53 other locations,3.7,5.7k,,Promotions / Appraisal | Work Satisfaction | Job Security
Udaan,Internet | Bangalore / Bengaluru +367 other locations,4.0,5.7k,Salary & Benefits | Work Life Balance | Skill Development / Learning,Job Security | Promotions / Appraisal
HSBC Group,Financial Services | Bangalore / Bengaluru +63 other locations,3.9,5.6k,Job Security | Company Culture | Work Life Balance,Promotions / Appraisal
Indiamart Intermesh,Internet | Noida +168 other locations,3.6,5.6k,,Work Satisfaction | Promotions / Appraisal | Company Culture
DMart,Retail | Mumbai +241 other locations,3.9,5.6k,Job Security | Company Culture,Promotions / Appraisal
Aurobindo Pharma,Pharma | Hyderabad / Secunderabad +114 other locations,4.0,5.5k,Job Security | Salary & Benefits | Work Life Balance,
Siemens,Industrial Automation | Bangalore / Bengaluru +150 other locations,4.0,5.4k,Work Life Balance | Job Security | Company Culture,Promotions / Appraisal
Shapoorji Pallonji Group,Engineering & Construction | Mumbai +187 other locations,4.1,5.4k,Job Security | Company Culture | Work Life Balance,Promotions / Appraisal
Standard Chartered,Banking | Chennai +68 other locations,3.6,5.4k,,Promotions / Appraisal | Work Satisfaction | Salary & Benefits
SMFG India Credit,NBFC | Mumbai +576 other locations,3.9,5.4k,Salary & Benefits,Promotions / Appraisal
BigBasket,Internet | Bangalore / Bengaluru +136 other locations,3.9,5.4k,Job Security | Skill Development / Learning,Promotions / Appraisal
