name,details,ratings,reviews_count,positive_feedbacks,negetive_feedbacks
Tata nexarc,Software Product | Mumbai +16 other locations,3.1,271,,Promotions / Appraisal | Job Security | Work Satisfaction
Sunteck Realty,Real Estate | Mumbai +9 other locations,3.2,271,,Work Satisfaction | Promotions / Appraisal | Company Culture
Toyota Tsusho,Metals & Mining | Bangalore / Bengaluru +26 other locations,3.9,272,Job Security | Work Life Balance | Salary & Benefits,Promotions / Appraisal
Elico Healthcare Services,Analytics & KPO | Hyderabad / Secunderabad +4 other locations,2.7,271,,Promotions / Appraisal | Salary & Benefits | Work Satisfaction
Bony Polymers,Auto Components | Faridabad +14 other locations,3.6,271,,Promotions / Appraisal | Company Culture | Work Satisfaction
Meghalaya Cements,Building Material | Guwahati +14 other locations,4.1,272,Job Security | Work Life Balance | Company Culture,Promotions / Appraisal
ESIC HOSPITAL,Healthcare | New Delhi +54 other locations,4.0,271,Work Life Balance | Salary & Benefits | Work Satisfaction,Promotions / Appraisal
Listenlights,Electrical Equipment | Mumbai +10 other locations,3.8,271,Salary & Benefits,Job Security | Promotions / Appraisal
Smaaash Entertainment,Sports & Recreation | Mumbai +28 other locations,3.5,270,,Job Security | Promotions / Appraisal | Company Culture
Kangaro Industries,Retail | Ludhiana +22 other locations,3.7,270,Job Security,Promotions / Appraisal | Salary & Benefits | Skill Development / Learning
Integra Global Solutions,Financial Services | Coimbatore +4 other locations,3.6,270,Job Security,Promotions / Appraisal | Company Culture | Salary & Benefits
Hike Education Private Limited,EdTech | Gurgaon / Gurugram +6 other locations,3.7,272,,Work Life Balance | Job Security
Mitsuba Sical,Auto Components | Gurgaon / Gurugram +15 other locations,4.0,271,Company Culture | Work Life Balance | Skill Development / Learning,Promotions / Appraisal
InnovationM,IT Services & Consulting | Noida +8 other locations,4.0,270,Work Life Balance | Skill Development / Learning | Company Culture,
Avanse Financial Services,Financial Services | Mumbai +26 other locations,4.0,270,Job Security | Salary & Benefits | Company Culture,Promotions / Appraisal
Ms Agarwal Foundries,Iron & Steel | Hyderabad / Secunderabad +14 other locations,3.9,270,Salary & Benefits | Work Life Balance | Skill Development / Learning,
Technocon Services,Telecom | Kolkata +36 other locations,3.2,272,,Promotions / Appraisal | Salary & Benefits | Company Culture
Xylem Water Solutions,Waste Management | Vadodara +19 other locations,4.0,270,Work Life Balance | Company Culture | Job Security,
Equifax,Financial Services | Bangalore / Bengaluru +12 other locations,3.4,270,,Promotions / Appraisal | Work Satisfaction | Job Security
Any Brand,Fashion & Textile | New Delhi +65 other locations,4.2,270,Company Culture | Work Satisfaction | Skill Development / Learning,
Munjal Auto Industries,Auto Components | Vadodara +13 other locations,3.7,270,,Job Security | Promotions / Appraisal | Company Culture
Popular Vehicles and Services,Automobile | Chennai +25 other locations,3.8,269,Job Security | Skill Development / Learning,Promotions / Appraisal | Salary & Benefits
Gemini Solutions,IT Services & Consulting | Gurgaon / Gurugram +12 other locations,3.2,269,,Job Security | Work Satisfaction | Promotions / Appraisal
Alf Engineering,Auto Components | Nashik +14 other locations,4.0,270,Work Life Balance | Job Security | Work Satisfaction,Promotions / Appraisal
Trivium Education Services,EdTech | New Delhi +17 other locations,3.8,269,Work Life Balance | Company Culture,Promotions / Appraisal | Job Security | Salary & Benefits
Olyv,FinTech | Bangalore / Bengaluru +2 other locations,4.4,269,Company Culture | Work Life Balance | Work Satisfaction,
The Louis Berger Group,Engineering & Construction | Mumbai +35 other locations,4.3,270,Work Life Balance | Salary & Benefits | Company Culture,
Sakata Inx,Chemicals | Bhiwadi +18 other locations,4.0,269,Job Security | Work Life Balance | Work Satisfaction,Promotions / Appraisal
Viva Composite Panel,Building Material | Mumbai +47 other locations,4.6,271,Company Culture | Skill Development / Learning | Work Life Balance,
The Fern Residency,Hospitality | Mumbai +54 other locations,3.9,270,Work Life Balance,Promotions / Appraisal
Control Print,Industrial Machinery | Mumbai +37 other locations,4.1,269,Job Security | Work Life Balance,Promotions / Appraisal
Vayam Info Solutions,Recruitment | New Delhi +44 other locations,4.0,269,Work Life Balance | Work Satisfaction,Promotions / Appraisal | Skill Development / Learning
Aspiro Pharma,Pharma | Hyderabad / Secunderabad +5 other locations,3.7,269,,Promotions / Appraisal
Fleetx.io,Software Product | Gurgaon / Gurugram +30 other locations,3.5,269,,Promotions / Appraisal | Job Security | Work Satisfaction
Polyplex,Packaging | Noida +14 other locations,4.1,268,Job Security | Work Life Balance | Company Culture,Promotions / Appraisal
V2Solutions,IT Services & Consulting | Mumbai +10 other locations,3.1,268,,Job Security | Promotions / Appraisal | Work Satisfaction
Bombardier Transportation,Urban Transport | Vadodara +11 other locations,4.4,268,Company Culture | Work Life Balance | Work Satisfaction,
Superhouse,Leather | Kanpur +9 other locations,3.4,268,,Promotions / Appraisal | Job Security | Company Culture
Big C,Hyderabad / Secunderabad +52 other locations,3.8,269,Work Life Balance | Skill Development / Learning | Company Culture,Promotions / Appraisal
Myk Schomburg,Chemicals | Hyderabad / Secunderabad +46 other locations,3.8,268,Salary & Benefits | Work Life Balance,Promotions / Appraisal
Tao Digital,IT Services & Consulting | Hyderabad / Secunderabad +6 other locations,3.5,269,,Promotions / Appraisal | Company Culture | Work Satisfaction
Amrita Institute of Medical Sciences and Research,Healthcare | Kochi +15 other locations,3.7,268,,Promotions / Appraisal | Work Satisfaction | Job Security
Anupam Rasayan India,Chemicals | Surat +10 other locations,3.6,268,Job Security,Promotions / Appraisal | Salary & Benefits | Company Culture
Borgwarner Emission System,Auto Components | Bangalore / Bengaluru +13 other locations,3.7,268,,Promotions / Appraisal
Motherson Technology Services,IT Services & Consulting | Noida +11 other locations,3.3,268,Job Security,Promotions / Appraisal | Salary & Benefits | Company Culture
ICICI Direct,Financial Services | Mumbai +64 other locations,3.8,267,Job Security | Skill Development / Learning,Promotions / Appraisal
ITC ABD,Guntur +66 other locations,3.6,267,Job Security,Promotions / Appraisal | Work Life Balance | Work Satisfaction
Befree Business Resourceing,Accounting & Auditing | Bangalore / Bengaluru +13 other locations,3.2,267,,Promotions / Appraisal | Salary & Benefits | Work Satisfaction
ISS SDB Security Services,Facility Management Services | Chennai +49 other locations,4.2,267,Work Life Balance | Work Satisfaction | Job Security,
Policyboss.com,Insurance | Mumbai +38 other locations,3.2,267,,Promotions / Appraisal | Job Security | Company Culture
Roche Diagnostics,Pharma | Mumbai +32 other locations,3.7,268,Salary & Benefits,Promotions / Appraisal | Job Security | Work Satisfaction
Highbar Technocrat,IT Services & Consulting | Mumbai +15 other locations,3.9,267,Skill Development / Learning | Job Security,Promotions / Appraisal
Ciron Drugs & Pharmaceuticals,Healthcare | Mumbai +12 other locations,3.2,267,,Job Security | Salary & Benefits | Company Culture
Autodesk,Software Product | Bangalore / Bengaluru +22 other locations,4.0,267,Company Culture | Work Life Balance | Salary & Benefits,Promotions / Appraisal | Job Security
InKnowTech,IT Services & Consulting | Bangalore / Bengaluru +25 other locations,3.2,267,,Promotions / Appraisal | Job Security | Skill Development / Learning
Perkins,Engineering & Construction | Aurangabad +8 other locations,4.3,267,Company Culture | Work Life Balance | Skill Development / Learning,
Toyota Material Handling,Industrial Machinery | Gurgaon / Gurugram +32 other locations,3.6,267,Salary & Benefits,Work Life Balance | Company Culture | Job Security
Sam India Built Well,Engineering & Construction | New Delhi +20 other locations,3.3,267,,Company Culture | Work Satisfaction | Job Security
Universal Mep Projects & Engineering Services,Engineering & Construction | Mumbai +61 other locations,3.7,269,Salary & Benefits,Promotions / Appraisal | Company Culture | Work Satisfaction
Sarvagram Fincare,NBFC | Pune +107 other locations,4.0,268,Salary & Benefits | Skill Development / Learning | Company Culture,
Aarti Steels,Iron & Steel | Cuttack +11 other locations,3.9,267,Work Life Balance,
Worldline Global Services,IT Services & Consulting | Mumbai +15 other locations,3.7,267,Work Life Balance,Promotions / Appraisal
Sonata Finance,Financial Services | Lucknow +70 other locations,3.9,266,Company Culture | Work Life Balance | Job Security,Salary & Benefits
Mahindra Teqo,Software Product | Mumbai +71 other locations,4.0,267,Job Security | Skill Development / Learning | Company Culture,Promotions / Appraisal
RHI Magnesita,Building Material | Gurgaon / Gurugram +40 other locations,3.8,266,Work Life Balance,Promotions / Appraisal
HM Group,Real Estate | Bangalore / Bengaluru +3 other locations,4.4,266,Work Life Balance | Salary & Benefits | Company Culture,
Crescent Foundry,Metals & Mining | Kolkata +13 other locations,3.9,266,Job Security,Promotions / Appraisal
Stelmec,Electronics Manufacturing | Mumbai +29 other locations,3.1,267,,Promotions / Appraisal | Company Culture | Work Satisfaction
Four Points By Sheraton,Hospitality | Pune +31 other locations,4.3,266,Company Culture | Job Security | Skill Development / Learning,
Property Solutions,Facility Management Services | Mumbai +33 other locations,3.8,266,,Promotions / Appraisal | Job Security
Freelancer.com,Bangalore / Bengaluru +36 other locations,4.1,266,Company Culture | Work Life Balance | Work Satisfaction,
Locuz Enterprise Solutions,IT Services & Consulting | Hyderabad / Secunderabad +18 other locations,3.7,267,,Promotions / Appraisal | Skill Development / Learning | Work Satisfaction
P&O Cruises,Travel & Tourism | Mumbai +17 other locations,3.6,266,Job Security,Promotions / Appraisal
Dotsquares,IT Services & Consulting | Jaipur +6 other locations,2.9,266,,Promotions / Appraisal | Company Culture | Work Life Balance
Kaleesuwari Refinery,Food Processing | Chennai +42 other locations,3.8,266,Salary & Benefits,Promotions / Appraisal
Segula Technologies,Chennai +7 other locations,3.3,266,,Job Security | Promotions / Appraisal | Skill Development / Learning
Kanwar Enterprises,Engineering & Construction | Noida +37 other locations,3.4,266,,Promotions / Appraisal | Salary & Benefits | Company Culture
Shriram Value Services,IT Services & Consulting | Chennai +28 other locations,3.9,265,Company Culture,Salary & Benefits
Lumax Auto Technologies Ltd,Auto Components | Pune +17 other locations,4.3,265,Work Life Balance | Job Security | Company Culture,
ICICI Foundation for Inclusive Growth,Non-Profit | Mumbai +62 other locations,3.6,265,,Promotions / Appraisal | Job Security | Company Culture
Servotech Power Systems,Electrical Equipment | New Delhi +19 other locations,4.0,265,Salary & Benefits | Company Culture | Work Life Balance,
Tata Memorial Centre,Healthcare | Mumbai +25 other locations,4.0,265,Skill Development / Learning,Promotions / Appraisal
Powerica,Industrial Machinery | Mumbai +29 other locations,3.7,266,Salary & Benefits,Company Culture | Work Satisfaction | Skill Development / Learning
Central Institute of Mining and Fuel Research,Education & Training | Dhanbad +20 other locations,3.8,265,,Job Security | Promotions / Appraisal | Salary & Benefits
BMW,Automobile | Chennai +32 other locations,4.1,265,Work Life Balance | Company Culture | Work Satisfaction,Promotions / Appraisal
Cremica Food Industries,Food Processing | New Delhi +47 other locations,3.8,265,,Promotions / Appraisal | Work Satisfaction
Thirumalai Chemicals,Chemicals | Ranipet +11 other locations,3.9,265,Job Security | Skill Development / Learning,Promotions / Appraisal
Sun TV Network,Media & Entertainment | Chennai +16 other locations,3.5,265,Job Security,Promotions / Appraisal | Salary & Benefits | Company Culture
Microsense,IT Services & Consulting | Chennai +31 other locations,3.6,266,,Promotions / Appraisal | Company Culture | Work Satisfaction
EnFuse Solutions,IT Services & Consulting | Mumbai +36 other locations,4.1,265,Work Life Balance | Company Culture | Skill Development / Learning,Promotions / Appraisal
CR3 Group,Jamnagar +24 other locations,3.8,266,Skill Development / Learning,Promotions / Appraisal
Futwork,Internet | Mumbai +22 other locations,3.7,266,,Promotions / Appraisal | Work Satisfaction | Job Security
Bandhan KOnnagar,Non-Profit | Kolkata +64 other locations,3.5,265,,Job Security | Promotions / Appraisal | Company Culture
Walchandnagar Industries,Industrial Machinery | Pune +11 other locations,3.3,264,,Promotions / Appraisal | Salary & Benefits | Company Culture
SEABIRD LOGISOLUTIONS,Logistics | Pune +30 other locations,4.0,264,Skill Development / Learning | Work Life Balance,Promotions / Appraisal
Sir Ganga Ram Hospital,Healthcare | New Delhi +13 other locations,4.0,265,Job Security | Skill Development / Learning | Work Life Balance,
Motilal Oswal Asset Management Company,Mumbai +41 other locations,4.4,264,Work Life Balance | Company Culture | Skill Development / Learning,
SMR Automotive Systems India,Auto Components | Chennai +17 other locations,3.7,264,Job Security,Promotions / Appraisal | Salary & Benefits | Company Culture
Al-Yamama Group,Engineering & Construction | Dammam +24 other locations,3.5,264,,Promotions / Appraisal | Company Culture | Work Satisfaction
Ratnadeep Retail,Retail | Hyderabad / Secunderabad +13 other locations,4.2,264,Work Life Balance | Job Security | Company Culture,
S G Encon,Engineering & Construction | New Delhi +41 other locations,3.6,264,,Promotions / Appraisal | Company Culture | Work Satisfaction
East India Udyog,Electrical Equipment | Noida +38 other locations,4.1,264,Work Life Balance | Company Culture | Work Satisfaction,
Automotive Axles,Auto Components | Mysuru / Mysore +12 other locations,3.9,264,Company Culture | Work Satisfaction | Skill Development / Learning,Promotions / Appraisal
Dover India,Industrial Machinery | Bangalore / Bengaluru +6 other locations,4.0,263,Work Life Balance | Company Culture,Promotions / Appraisal
PaySquare Consultancy,Recruitment | Pune +8 other locations,3.8,263,Job Security | Skill Development / Learning,Promotions / Appraisal | Salary & Benefits
Nalco water,Waste Management | Pune +45 other locations,3.8,264,Skill Development / Learning,Promotions / Appraisal | Work Satisfaction
Mas Callnet,BPO | Noida +15 other locations,3.0,263,,Job Security | Promotions / Appraisal | Company Culture
Bihar Rural Livelihoods Promotion Society,Non-Profit | Patna +54 other locations,3.8,263,Skill Development / Learning,Promotions / Appraisal | Job Security
Adonmo,Marketing & Advertising | Hyderabad / Secunderabad +21 other locations,4.5,263,Company Culture | Work Life Balance | Work Satisfaction,
Sundaram Business Services,BPO | Chennai +8 other locations,3.7,263,Job Security | Work Life Balance | Work Satisfaction,Promotions / Appraisal | Salary & Benefits
Tamilnad Mercantile Bank,Banking | Chennai +63 other locations,2.5,264,,Work Life Balance | Company Culture | Work Satisfaction
Hero Electric,Automobile | Ludhiana +36 other locations,3.9,263,Company Culture | Work Life Balance | Work Satisfaction,Promotions / Appraisal
Navneet Education,Printing & Publishing | Mumbai +43 other locations,3.9,263,Job Security | Company Culture | Work Life Balance,Promotions / Appraisal
Junglee Games,Gaming | Gurgaon / Gurugram +7 other locations,3.8,264,Salary & Benefits | Company Culture,
OneAssist Consumer Solutions,Financial Services | Mumbai +30 other locations,3.9,263,Work Life Balance | Salary & Benefits,Promotions / Appraisal
Lafarge,Building Material | Mumbai +74 other locations,4.4,262,Company Culture | Skill Development / Learning | Work Life Balance,
Rooman Technologies,Education & Training | Bangalore / Bengaluru +40 other locations,3.6,262,,Job Security | Salary & Benefits | Promotions / Appraisal
Bhavani Industries,Industrial Machinery | Bangalore / Bengaluru +17 other locations,3.7,262,Skill Development / Learning,Promotions / Appraisal
Spectraforce Technologies,Recruitment | Hyderabad / Secunderabad +12 other locations,3.1,263,,Promotions / Appraisal | Work Satisfaction | Job Security
Irclass Systems And Solutions,Ports & Shipping | Mumbai +32 other locations,4.1,263,Company Culture | Work Life Balance | Work Satisfaction,Promotions / Appraisal
Malladi Drugs & Pharmaceuticals,Pharma | Chennai +13 other locations,3.7,262,Job Security,Promotions / Appraisal | Company Culture
INDIAN PUBLIC SCHOOL,Education & Training | Chennai +42 other locations,4.0,262,Work Life Balance | Company Culture,Promotions / Appraisal | Salary & Benefits
Aditya Birla Memorial Hospital,Healthcare | Pune +11 other locations,4.2,262,Job Security | Company Culture | Work Life Balance,
Veer-O-- Metals,Industrial Machinery | Bangalore / Bengaluru +8 other locations,4.2,262,Job Security | Work Life Balance | Work Satisfaction,
Yakult Danone India,Food Processing | New Delhi +24 other locations,3.7,262,Job Security | Work Life Balance,Promotions / Appraisal | Salary & Benefits | Skill Development / Learning
Indian Metals & Ferro Alloys,Iron & Steel | Bhubaneswar +21 other locations,3.8,262,Job Security,Promotions / Appraisal | Salary & Benefits
Balajee Group,Engineering & Construction | Mumbai +43 other locations,3.6,263,,Promotions / Appraisal | Work Satisfaction | Job Security
Namdev Finvest,Financial Services | Jaipur +55 other locations,3.9,262,Company Culture | Work Life Balance,
Inventys Research,Chemicals | Nagpur +5 other locations,4.0,261,Skill Development / Learning | Work Life Balance | Work Satisfaction,
Don Bosco School,Education & Training | Mumbai +62 other locations,3.4,261,,Promotions / Appraisal | Job Security | Salary & Benefits
ReachLocal Services,Marketing & Advertising | Mumbai +6 other locations,3.5,261,Work Life Balance,Promotions / Appraisal | Job Security | Salary & Benefits
Seven Hills Hospital,Healthcare | Mumbai +13 other locations,3.5,262,,Promotions / Appraisal | Company Culture | Salary & Benefits
Suresh Surana & Associates,Accounting & Auditing | Mumbai +16 other locations,3.2,261,,Promotions / Appraisal | Company Culture | Salary & Benefits
Konica Minolta Business Solutions India Pvt. Ltd.,Consumer Electronics & Appliances | Gurgaon / Gurugram +31 other locations,3.9,261,Company Culture | Skill Development / Learning | Job Security,Promotions / Appraisal
Sonalika Group of Companies,Automobile | Hoshiarpur +42 other locations,3.8,261,,Promotions / Appraisal | Company Culture
Indian Molasses Company,Ports & Shipping | Chennai +37 other locations,3.7,261,Job Security,Promotions / Appraisal | Company Culture | Skill Development / Learning
Suresh Surana & Associates,Accounting & Auditing | Mumbai +16 other locations,3.2,261,,Promotions / Appraisal | Company Culture | Salary & Benefits
Seven Hills Hospital,Healthcare | Mumbai +13 other locations,3.5,262,,Promotions / Appraisal | Company Culture | Salary & Benefits
Konica Minolta Business Solutions India Pvt. Ltd.,Consumer Electronics & Appliances | Gurgaon / Gurugram +31 other locations,3.9,261,Company Culture | Skill Development / Learning | Job Security,Promotions / Appraisal
American Express Global Business Travel,Travel & Tourism | Gurgaon / Gurugram +13 other locations,4.2,262,Work Life Balance | Job Security | Company Culture,Promotions / Appraisal
Hitachi Astemo Rajasthan Brake Systems,Auto Components | Neemrana +22 other locations,4.3,261,Work Life Balance | Job Security | Company Culture,
Paytm Payments Services,Noida +94 other locations,3.2,262,,Job Security | Promotions / Appraisal | Work Satisfaction
Niine,Beauty & Personal Care | Gorakhpur +65 other locations,3.7,261,Salary & Benefits,Job Security | Promotions / Appraisal | Work Satisfaction
Goldmedal Electricals,Electrical Equipment | Mumbai +64 other locations,3.6,261,,Promotions / Appraisal | Company Culture | Work Satisfaction
Reliance Securities,Financial Services | Mumbai +51 other locations,3.9,260,Work Life Balance | Company Culture | Work Satisfaction,Promotions / Appraisal
Walking Tree,IT Services & Consulting | Hyderabad / Secunderabad +12 other locations,3.3,260,,Job Security | Promotions / Appraisal | Work Satisfaction
Gatewaypark Business,Bangalore / Bengaluru +6 other locations,4.6,260,Company Culture | Work Life Balance | Job Security,
Gawar Construction,Engineering & Construction | New Delhi +37 other locations,4.0,260,Salary & Benefits | Work Life Balance | Work Satisfaction,
Puzzolana Machinery Fabricators,Industrial Machinery | Hyderabad / Secunderabad +14 other locations,4.1,260,Work Life Balance | Job Security | Company Culture,Promotions / Appraisal
Government of Maharashtra,Government | Mumbai +57 other locations,3.9,261,Work Life Balance,Promotions / Appraisal
RM Education Solutions,IT Services & Consulting | Thiruvananthapuram +11 other locations,3.4,260,,Job Security | Promotions / Appraisal | Salary & Benefits
Unitech,Real Estate | Gurgaon / Gurugram +27 other locations,3.5,260,,Promotions / Appraisal | Work Life Balance | Job Security
GfK MODE,Analytics & KPO | Gurgaon / Gurugram +20 other locations,3.4,260,,Promotions / Appraisal | Skill Development / Learning | Salary & Benefits
International Flavors & Fragrances,Chemicals | Hyderabad / Secunderabad +17 other locations,3.7,260,,Promotions / Appraisal | Work Satisfaction | Skill Development / Learning
Walking Tree,IT Services & Consulting | Hyderabad / Secunderabad +12 other locations,3.3,260,,Job Security | Promotions / Appraisal | Work Satisfaction
Ahana Systems & Solutions,IT Services & Consulting | Bangalore / Bengaluru +18 other locations,3.8,260,,Promotions / Appraisal | Salary & Benefits
Venkateshwar Hospital,Healthcare | New Delhi +11 other locations,3.4,260,,Promotions / Appraisal | Company Culture | Work Satisfaction
Nippon Audiotronix,Automobile | Gurgaon / Gurugram +15 other locations,3.5,260,,Promotions / Appraisal | Skill Development / Learning | Job Security
Apollo Diagnostics,Healthcare | Kolkata +56 other locations,4.3,260,Company Culture | Work Life Balance | Job Security,
Suntory Global Spirits India,Beverage | Gurgaon / Gurugram +61 other locations,4.1,261,Company Culture | Work Life Balance | Salary & Benefits,Promotions / Appraisal
Wika Instruments India,Industrial Machinery | Pune +13 other locations,4.0,259,Job Security | Work Life Balance | Company Culture,Salary & Benefits
VXI Global Solutions,BPO | Hyderabad / Secunderabad +5 other locations,3.5,260,,Promotions / Appraisal | Salary & Benefits | Work Life Balance
Siegwerk,Chemicals | Bhiwadi +25 other locations,4.1,259,Salary & Benefits | Company Culture | Work Life Balance,
Southern Petrochemical Industries Corporation,Agro Chemicals | Thoothukudi +18 other locations,3.7,259,Job Security | Skill Development / Learning,Promotions / Appraisal | Salary & Benefits | Work Life Balance
Dee Vee Projects,Engineering & Construction | Raipur +38 other locations,3.7,259,,Promotions / Appraisal | Job Security
Vcs Quality Services,Oil & Gas | New Delhi +53 other locations,4.0,259,Work Life Balance | Company Culture | Work Satisfaction,Promotions / Appraisal
Yodlee,Software Product | Bangalore / Bengaluru +5 other locations,3.8,259,Work Life Balance | Company Culture | Salary & Benefits,Work Satisfaction | Skill Development / Learning | Job Security
J.M Baxi & Co,Ports & Shipping | Mumbai +25 other locations,3.9,259,Job Security | Work Life Balance,Promotions / Appraisal
ARCIS e Services,BPO | Gurgaon / Gurugram +11 other locations,3.8,259,Job Security | Work Life Balance | Skill Development / Learning,Promotions / Appraisal
Eastern Condiments,FMCG | Kochi +52 other locations,4.0,259,Company Culture | Work Life Balance | Work Satisfaction,Promotions / Appraisal
Pps Motors,Automobile | Hyderabad / Secunderabad +50 other locations,3.8,259,Salary & Benefits,Promotions / Appraisal
Bajaj Hindusthan,Food Processing | Lucknow +20 other locations,4.3,259,Job Security | Work Life Balance | Work Satisfaction,
OSB India,Financial Services | Bangalore / Bengaluru +4 other locations,3.7,259,Work Life Balance | Salary & Benefits,
Indo Amines,Chemicals | Mumbai +13 other locations,3.0,260,,Job Security | Company Culture | Promotions / Appraisal
Sanmarg Projects,Oil & Gas | Noida +54 other locations,4.1,259,Work Life Balance | Company Culture | Work Satisfaction,Promotions / Appraisal | Job Security
Dee Vee Projects,Engineering & Construction | Raipur +38 other locations,3.7,259,,Promotions / Appraisal | Job Security
Noida Power Company,Power | Greater Noida +11 other locations,4.3,259,Job Security | Company Culture | Work Life Balance,
Liugong India,Engineering & Construction | Indore +19 other locations,3.3,261,,Company Culture | Work Satisfaction | Skill Development / Learning
Indo Amines,Chemicals | Mumbai +13 other locations,3.0,260,,Job Security | Company Culture | Promotions / Appraisal
GIVA Jewellery,Bangalore / Bengaluru +22 other locations,3.2,260,,Job Security | Company Culture | Work Satisfaction
Gupshup,Software Product | Mumbai +11 other locations,2.9,259,,Job Security | Promotions / Appraisal | Company Culture
Hewlett Packard Globalsoft,Bangalore / Bengaluru +7 other locations,3.5,258,,Promotions / Appraisal | Salary & Benefits | Work Satisfaction
Velnik India,Beauty & Personal Care | Indore +50 other locations,3.2,258,,Job Security | Promotions / Appraisal | Company Culture
ANI INTEGRATED SERVICES,Engineering & Construction | Mumbai +57 other locations,3.6,258,,Promotions / Appraisal | Job Security | Company Culture
Supermax Personal Care,Beauty & Personal Care | Mumbai +46 other locations,3.7,261,,Promotions / Appraisal | Job Security | Salary & Benefits
Total Environment Building Systems,Real Estate | Bangalore / Bengaluru +5 other locations,4.0,258,Job Security | Work Life Balance | Salary & Benefits,Promotions / Appraisal
Reliance Fresh,Retail | New Delhi +60 other locations,4.3,258,Company Culture | Job Security | Skill Development / Learning,
Algonomy,Software Product | Bangalore / Bengaluru +7 other locations,3.9,258,Work Life Balance | Work Satisfaction,Promotions / Appraisal | Skill Development / Learning
KiwiTech,IT Services & Consulting | Noida +4 other locations,3.7,258,,Job Security | Promotions / Appraisal
Kd Logistics,Logistics | Mumbai +34 other locations,3.8,258,Job Security,Promotions / Appraisal
Sgs Tekniks Manufacturing,Electronics Manufacturing | Gurgaon / Gurugram +12 other locations,3.9,258,Job Security | Skill Development / Learning,Promotions / Appraisal
Normet,Industrial Machinery | Jaipur +20 other locations,3.9,258,Work Life Balance | Job Security | Salary & Benefits,Promotions / Appraisal
Belstar Investment and Finance,Investment Banking / Venture Capital / Private Equity | Chennai +103 other locations,4.1,258,Company Culture | Job Security | Work Life Balance,
HDFC Credila Financial Services,Financial Services | Mumbai +31 other locations,3.6,259,,Promotions / Appraisal | Work Life Balance | Company Culture
Emerald Jewel Industry India,Jewellery | Coimbatore +13 other locations,3.6,257,,Promotions / Appraisal | Salary & Benefits | Work Satisfaction
Duroshox,Auto Components | Pune +3 other locations,3.3,257,,Promotions / Appraisal | Job Security | Company Culture
HDFC Credila Financial Services,Financial Services | Mumbai +31 other locations,3.6,259,,Promotions / Appraisal | Work Life Balance | Company Culture
Xtancia Technosoft,Software Product | Chennai +2 other locations,4.0,257,Work Satisfaction | Skill Development / Learning | Salary & Benefits,
BARC,Defence & Aerospace | Mumbai +24 other locations,4.3,257,Work Life Balance | Company Culture | Work Satisfaction,
Cargo Service Center India,Logistics | New Delhi +11 other locations,3.6,257,,Promotions / Appraisal | Company Culture | Work Life Balance
Confederation of Indian Industry,Law Enforcement & Security | New Delhi +40 other locations,3.2,257,,Promotions / Appraisal | Work Satisfaction | Skill Development / Learning
Eastern Software Solutions Pvt. Ltd,IT Services & Consulting | Noida +8 other locations,3.7,257,Skill Development / Learning,Job Security | Promotions / Appraisal
Jayashree Polymers,Auto Components | Pune +9 other locations,3.8,258,,Promotions / Appraisal | Job Security
Omega Healthcare Solutions,Healthcare | Chennai +8 other locations,3.7,257,,Promotions / Appraisal
Himalaya Opticals,Retail | Kolkata +52 other locations,4.4,257,Job Security | Work Life Balance | Company Culture,
Zee Media Corporation,Broadcasting | Noida +19 other locations,3.5,257,,Promotions / Appraisal | Job Security | Salary & Benefits
Trigyn Technologies,IT Services & Consulting | Mumbai +13 other locations,3.6,258,Work Life Balance,Promotions / Appraisal | Job Security | Work Satisfaction
HyFun Foods,Food Processing | Ahmedabad +19 other locations,4.2,258,Job Security | Salary & Benefits | Company Culture,
Anand Rathi: Online Stock Trading & Advisory,Financial Services | Mumbai +45 other locations,3.6,257,,Promotions / Appraisal | Salary & Benefits | Work Satisfaction
Varmora Granito,Building Material | Ahmedabad +60 other locations,4.0,257,Work Life Balance,Promotions / Appraisal | Skill Development / Learning
NIFTEL COMMUNICATIONS,BPO | Lucknow +15 other locations,3.1,257,,Promotions / Appraisal | Company Culture | Work Satisfaction
Ummeed Housing Finance,Financial Services | Gurgaon / Gurugram +68 other locations,3.9,258,Skill Development / Learning | Salary & Benefits,
Dnata,Aviation | Bangalore / Bengaluru +19 other locations,3.2,256,,Promotions / Appraisal | Work Satisfaction | Company Culture
I P Integrated Services,Telecom | Gurgaon / Gurugram +52 other locations,4.1,257,Work Life Balance | Job Security | Company Culture,Promotions / Appraisal
Kirloskar Electric Company,Electrical Equipment | Bangalore / Bengaluru +21 other locations,3.6,256,Work Life Balance | Job Security,Promotions / Appraisal | Salary & Benefits | Company Culture
Hindustan Latex Family Planning Promotion Trust,Healthcare | Noida +61 other locations,3.5,257,,Promotions / Appraisal | Job Security | Company Culture
UNICEF,Non-Profit | New Delhi +59 other locations,4.0,256,Salary & Benefits | Work Life Balance | Skill Development / Learning,Job Security | Promotions / Appraisal
Nalco,Metals & Mining | Bhubaneswar +15 other locations,4.1,256,Job Security | Work Life Balance | Salary & Benefits,
Interface Microsystems,Auto Components | Gurgaon / Gurugram +9 other locations,3.6,256,,Promotions / Appraisal | Company Culture | Job Security
Reliable Autotech,Auto Components | Pune +5 other locations,4.2,256,Company Culture | Work Life Balance | Skill Development / Learning,Promotions / Appraisal
Propel Industries,Industrial Machinery | Coimbatore +22 other locations,3.8,256,,Promotions / Appraisal | Work Life Balance
